ID;SMILES;Screening;Enzyme activity (%);pIC50;pEC50;pCC50;Crystal structure;;;;
QHM-0000529;CC1=CN2C(CN3CCCC3)=C(C3=CC=CC=C3)N=C2C=C1;Enzymatic;107;NA;NA;NA;;;;;
QHM-0000516;NC1=CC2=NC(C3=CC=CC=C3)=CN2C=N1;Enzymatic;103;NA;NA;NA;;;;;
QHM-0000513;NC1=CC2=NC(C3=CC=C(F)C(F)=C3)=CN2C=N1;Enzymatic;105;NA;NA;NA;;;;;
QHM-0000491;CC1=CN2C=C(C3=CC=CC=C3)N=C2C=C1;Enzymatic;107;NA;NA;NA;;;;;
QHM-0000437;CS(=O)(=O)NC1=CC(N2C=NN=N2)=CC=C1;Enzymatic;113;NA;NA;NA;;;;;
QHM-0000417;NC1=CC2=NC(C3=CC=CC(C(F)(F)F)=C3)=CN2C=N1;Enzymatic;103;NA;NA;NA;;;;;
QHM-0000412;CC1=CC2=NC(C3=CC=CC=N3)=CN2C=C1;Enzymatic;93;NA;NA;NA;;;;;
QHM-0000378;CS(=O)(=O)NC1=CC=CC(C(=O)NCC2=CC=CC=C2)=C1;Enzymatic;102;NA;NA;NA;;;;;
QHM-0000376;NC1=CC=CC(C(=O)NCC2=CC=CC=C2)=C1;Enzymatic;106;NA;NA;NA;;;;;
QHM-0000326;[O-][N+](=O)C1=CC=CC(C2=NCCO2)=C1;Enzymatic;97;NA;NA;NA;;;;;
QHM-0000321;CS(=O)(=O)NC1=CC=CC(C2=NC3=C(N2)C=CC=C3)=C1;Enzymatic;106;NA;NA;NA;;;;;
QHM-0000298;OC1=C(N2CCN(C3=CC=C(Cl)C=C3)CC2)C(=O)C2=CC=CC=C2C1=O;Enzymatic;95;NA;NA;NA;;;;;
QHM-0000218;CCOC(=O)C1=C(C2=CC=C(C)C=C2)OC2=NC=CC=C12;Enzymatic;49;NA;NA;NA;;;;;
QHM-0000120;OC(CNCCCc1ccccc1)c1ccccc1;Enzymatic;128;NA;NA;NA;;;;;
QHM-0000119;OC(CNCCc1ccccc1)c1ccccc1;Enzymatic;118;NA;NA;NA;;;;;
QHM-0000118;OC(CNCc1ccccc1)c1ccccc1;Enzymatic;105;NA;NA;NA;;;;;
QHM-0000117;C(CCc1ccccc1)CN1CC1c1ccccc1;Enzymatic;117;NA;NA;NA;;;;;
QHM-0001050;ClC1=NC2=CC=CC=C2NC1=O;Enzymatic;88;NA;NA;NA;;;;;
QHM-0000939;O=C1C(NC2=CC=C(OC)C=C2)=NC2=CC=CC=C2N1;Enzymatic;64;NA;NA;NA;;;;;
QHM-0000940;O=C1C(NC2=CC=C(Cl)C=C2)=NC2=CC=CC=C2N1;Enzymatic;95;NA;NA;NA;;;;;
QHM-0000942;O=C1C(NC2=CC3=C(OCCO3)C=C2)=NC2=CC=CC=C2N1;Enzymatic;108,5;NA;NA;NA;;;;;
QHM-0000941;O=C1C(NC2=CC=C(F)C=C2)=NC2=CC=CC=C2N1;Enzymatic;98;NA;NA;NA;;;;;
QHM-0001051;O=C1NC(N2CCN(C3=CC=CC=C3)CC2)=NC2=CC=CC=C12;Enzymatic;115,15;NA;NA;NA;;;;;
QHM-0000933;OC1=NC(O)=NC2=CC=CC=C12;Enzymatic;121;NA;NA;NA;;;;;
QHM-0000001;CC(C)=CCC1=C(O)C(=O)C2=CC=CC=C2C1=O;Enzymatic;;7,113509275;5,823908741;4,173925197;Y;;;;
QHM-0000011;OC1=C(NC2=CC=CC=C2Cl)C(=O)C2=C(C=CC=C2)C1=O;Enzymatic;;6,698970004;5,638272164;4,113509275;;;;;
QHM-0000020;CC(C)CCC1=C(O)C(=O)C2=C(C=CC=C2)C1=O;Enzymatic;;6,498940738;5,744727495;4,124938737;;;;;
QHM-0000034;OC1=C(NC2=CC=C(Cl)C=C2)C(=O)C2=C(C=CC=C2)C1=O;Enzymatic;;6,019996628;ND;ND;;;;;
QHM-0000110;OC1=C(Nc2cccc(C(F)(F)F)c2)C(=O)c2ccccc2C1=O;Enzymatic;;6,627087997;5,823908741;4,318758763;;;;;
QHM-0000230;OC1=C(NC2=CC=C(F)C=C2)C(=O)C2=CC=CC=C2C1=O;Enzymatic;;5,711750774;5,920818754;5,920818754;;;;;
A1;NCC1CCCCO1;Crystallographic;ND;ND;ND;ND;;;;;
A2;C1CC1c1cscn1;Crystallographic;ND;ND;ND;ND;;;;;
A3;OCc1cccc(Cl)c1;Crystallographic;ND;ND;ND;ND;;;;;
A4;Nc1cccc(n1)C(F)(F)F;Crystallographic;ND;ND;ND;ND;;;;;
A5;Oc1cccc2CCCc12;Crystallographic;ND;ND;ND;ND;;;;;
A6;CSc1nccnn1;Crystallographic;ND;ND;ND;ND;;;;;
A7;Nc1ncccc1CO;Crystallographic;ND;ND;ND;ND;;;;;
A8;OC(=O)C1CCCOC1;Crystallographic;ND;ND;ND;ND;;;;;
A9;Nc1nsc2ncccc12;Crystallographic;ND;ND;ND;ND;;;;;
A10;OCCc1ccccn1;Crystallographic;ND;ND;ND;ND;;;;;
A11;CCOc1ccnc(F)c1;Crystallographic;ND;ND;ND;ND;;;;;
