ID,SMILES,Screening,Enzyme activity (%),pIC50,pEC50,pCC50,Crystal structure,Tanimoto_brequinar,Tanimoto_teriflunomida,Tanimoto_H3D-003181,Tanimoto_QHM-0001063,Tanimoto_QHM-0000370,Tanimoto_QHM-0000001,Tanimoto_2D
QHM-0000828,CC1=CN2C(=NC(C3=CC=C(F)C(F)=C3)=C2CO)C=C1,Enzymatic,91,,,,,0.5111111111111111,0.22950819672131148,0.3770491803278688,0.3333333333333333,0.19230769230769232,0.22807017543859648,0.4772727272727273
QHM-0000808,CC1=CC=C(C2=NNC3=C2C=CC=C3)C=C1,Enzymatic,142,,,,,0.3783783783783784,0.1836734693877551,0.15517241379310345,0.40476190476190477,0.2857142857142857,0.15217391304347827,0.37142857142857144
QHM-0000805,NC1=CC=C2C(=O)N(CC3=CC=C(Br)C=C3)CC2=C1,Enzymatic,129,,,,,0.35294117647058826,0.288135593220339,0.39344262295081966,0.42592592592592593,0.4,0.22413793103448276,0.32
QHM-0000801,C1=NN(C2=CC=CC=N2)C2=CC=CC=C12,Enzymatic,115,,,,,0.3181818181818182,0.18181818181818182,0.1935483870967742,0.4666666666666667,0.2682926829268293,0.1111111111111111,0.34146341463414637
QHM-0000798,IC1=NNC2=CC=CC=C12,Enzymatic,97,,,,,0.3684210526315789,0.20408163265306123,0.1724137931034483,0.3333333333333333,0.21052631578947367,0.10204081632653061,0.4
QHM-0000795,CCCCN(CC1=C(C2=CC=CC=N2)N=C2C=C(C)C=CN12)C1=CC=C(F)C=C1,Enzymatic,106,,,,,0.38181818181818183,0.2028985507246377,0.29577464788732394,0.3333333333333333,0.20689655172413793,0.18181818181818182,0.32727272727272727
QHM-0000780,O=C1CC2=NC=CC=C2CN1,Enzymatic,78,,,,,0.32608695652173914,0.2830188679245283,0.4,0.5681818181818182,0.34146341463414637,0.21153846153846154,0.3181818181818182
QHM-0000771,[O-][N+](=O)C1=CC=C(CN2C=C(C3=CC=CC=C3)N=N2)C=C1,Enzymatic,63,,,,,0.2545454545454545,0.1875,0.26865671641791045,0.3275862068965517,0.23529411764705882,0.109375,0.24528301886792453
QHM-0000770,NC1=CC(C2=CN(C3=CC=C([N+]([O-])=O)C=C3)N=N2)=CC=C1,Enzymatic,80,,,,,0.2641509433962264,0.21311475409836064,0.22058823529411764,0.36363636363636365,0.2978723404255319,0.09523809523809523,0.2549019607843137
QHM-0000768,[O-][N+](=O)C1=CC=C(N2C=C(C3=CC=C(COCC4=CC=CC=C4)C=C3)N=N2)C=C1,Enzymatic,97,,,,,0.25862068965517243,0.19402985074626866,0.2535211267605634,0.3064516129032258,0.21818181818181817,0.13636363636363635,0.25
QHM-0000766,[O-][N+](=O)C1=CC(N2C=C(C3=CC=C(COCC4=CC=CC=C4)C=C3)N=N2)=CC=C1,Enzymatic,79,,,,,0.25862068965517243,0.19402985074626866,0.2535211267605634,0.3064516129032258,0.21818181818181817,0.13636363636363635,0.25
QHM-0000765,COC1=CC=C(C2=CN(C3=CC=CC([N+]([O-])=O)=C3)N=N2)C=C1,Enzymatic,76,,,,,0.27586206896551724,0.22727272727272727,0.21621621621621623,0.36666666666666664,0.23636363636363636,0.1875,0.24561403508771928
QHM-0000760,NC1=CC(C2=CN(CC3=CC=CC([N+]([O-])=O)=C3)N=N2)=CC=C1,Enzymatic,91,,,,,0.24561403508771928,0.2,0.27941176470588236,0.3389830508474576,0.27450980392156865,0.10606060606060606,0.23636363636363636
QHM-0000751,FC1=CC=C(NC(=O)NC2=CC(N3C=NN=N3)=CC=C2)C=C1,Enzymatic,122,,,,,0.3269230769230769,0.35714285714285715,0.3492063492063492,0.5098039215686274,0.3695652173913043,0.09230769230769231,0.3469387755102041
QHM-0000749,FC(F)(F)C1=CC=CC(NC(=O)NC2=CC(N3C=NN=N3)=CC=C2)=C1,Enzymatic,71,,,,,0.3018867924528302,0.38181818181818183,0.3709677419354839,0.5098039215686274,0.3695652173913043,0.09230769230769231,0.32
QHM-0000726,CC(C)=CCC1=C(O[Si](C)(C)C(C)(C)C)CC2=CC=CC=C2C1=O,Enzymatic,77,,,,,0.25,0.2413793103448276,0.19117647058823528,0.15873015873015872,0.1346153846153846,0.5581395348837209,0.19230769230769232
QHM-0000714,CC1=CC=C(CN2CC3=CC(N)=CC=C3C2=O)C=C1,Enzymatic,102,,,,,0.32,0.2807017543859649,0.36666666666666664,0.45098039215686275,0.4634146341463415,0.25925925925925924,0.26
QHM-0000712,[O-][N+](C1=CC=C2C(=C1)CN(C1=CC=C(Cl)C(F)=C1)C2=O)=O,Enzymatic,77,,,,,0.38596491228070173,0.2647058823529412,0.37681159420289856,0.359375,0.2807017543859649,0.22727272727272727,0.3333333333333333
QHM-0000707,NC1=CC=C2C(=O)N(CCN3CCOCC3)CC2=C1,Enzymatic,93,,,,,0.2786885245901639,0.25,0.40298507462686567,0.3870967741935484,0.3090909090909091,0.23076923076923078,0.25
QHM-0000625,CC(C)(Cl)C1=CN=NN1CC1=CC=C([N+]([O-])=O)C=C1,Enzymatic,116,,,,,0.2786885245901639,0.2318840579710145,0.3055555555555556,0.2463768115942029,0.2,0.15942028985507245,0.20967741935483872
QHM-0000622,CC(C)(O)C1=CN=NN1CC1=CC=C([N+]([O-])=O)C=C1,Enzymatic,113,,,,,0.24242424242424243,0.2535211267605634,0.3424657534246575,0.25,0.1875,0.21739130434782608,0.19696969696969696
QHM-0000619,NC1=CC(C2=CN=NN2CC2=CC=C([N+]([O-])=O)C=C2)=CC=C1,Enzymatic,165,,,,,0.2807017543859649,0.19402985074626866,0.3088235294117647,0.32786885245901637,0.2641509433962264,0.13636363636363635,0.22807017543859648
QHM-0000618,[O-][N+](=O)C1=CC(N2C=NN=N2)=C(Cl)C=C1,Enzymatic,149,,,,,0.34615384615384615,0.2222222222222222,0.2463768115942029,0.3,0.20754716981132076,0.1076923076923077,0.28846153846153844
QHM-0000586,CCCCN(CC1=C(C2=CC=CC=C2)N=C2C=CC(C)=CN12)C1=CC=CC(C(F)(F)F)=C1,Enzymatic,118,,,,,0.3508771929824561,0.23529411764705882,0.32857142857142857,0.3492063492063492,0.2033898305084746,0.1791044776119403,0.2982456140350877
QHM-0000529,CC1=CN2C(CN3CCCC3)=C(C3=CC=CC=C3)N=C2C=C1,Enzymatic,107,,,,,0.34,0.13846153846153847,0.23880597014925373,0.3392857142857143,0.19607843137254902,0.1694915254237288,0.28
QHM-0000516,NC1=CC2=NC(C3=CC=CC=C3)=CN2C=N1,Enzymatic,103,,,,,0.32558139534883723,0.20754716981132076,0.21666666666666667,0.5116279069767442,0.34210526315789475,0.11320754716981132,0.35
QHM-0000513,NC1=CC2=NC(C3=CC=C(F)C(F)=C3)=CN2C=N1,Enzymatic,105,,,,,0.46511627906976744,0.25,0.29508196721311475,0.4489795918367347,0.29545454545454547,0.14035087719298245,0.42857142857142855
QHM-0000491,CC1=CN2C=C(C3=CC=CC=C3)N=C2C=C1,Enzymatic,107,,,,,0.40540540540540543,0.1346153846153846,0.15254237288135594,0.3953488372093023,0.24324324324324326,0.14893617021276595,0.4
QHM-0000437,CS(=O)(=O)NC1=CC(N2C=NN=N2)=CC=C1,Enzymatic,113,,,,,0.20634920634920634,0.25757575757575757,0.24324324324324326,0.3333333333333333,0.25,0.09859154929577464,0.19672131147540983
QHM-0000417,NC1=CC2=NC(C3=CC=CC(C(F)(F)F)=C3)=CN2C=N1,Enzymatic,103,,,,,0.37777777777777777,0.3018867924528302,0.3,0.48936170212765956,0.3023255813953488,0.10344827586206896,0.40476190476190477
QHM-0000412,CC1=CC2=NC(C3=CC=CC=N3)=CN2C=C1,Enzymatic,93,,,,,0.39473684210526316,0.15384615384615385,0.15,0.4186046511627907,0.23684210526315788,0.14583333333333334,0.3888888888888889
QHM-0000378,CS(=O)(=O)NC1=CC=CC(C(=O)NCC2=CC=CC=C2)=C1,Enzymatic,102,,,,,0.18032786885245902,0.3389830508474576,0.4426229508196721,0.3114754098360656,0.40425531914893614,0.1746031746031746,0.1694915254237288
QHM-0000376,NC1=CC=CC(C(=O)NCC2=CC=CC=C2)=C1,Enzymatic,106,,,,,0.21951219512195122,0.3902439024390244,0.5,0.45,0.76,0.15555555555555556,0.23684210526315788
QHM-0000326,[O-][N+](=O)C1=CC=CC(C2=NCCO2)=C1,Enzymatic,97,,,,,0.19672131147540983,0.23076923076923078,0.3088235294117647,0.265625,0.24074074074074073,0.10294117647058823,0.1864406779661017
QHM-0000321,CS(=O)(=O)NC1=CC=CC(C2=NC3=C(N2)C=CC=C3)=C1,Enzymatic,106,,,,,0.26666666666666666,0.25757575757575757,0.2777777777777778,0.4,0.2962962962962963,0.14705882352941177,0.25862068965517243
QHM-0000298,OC1=C(N2CCN(C3=CC=C(Cl)C=C3)CC2)C(=O)C2=CC=CC=C2C1=O,Enzymatic,95,,,,,0.36065573770491804,0.30434782608695654,0.39436619718309857,0.3382352941176471,0.203125,0.3492063492063492,0.3559322033898305
QHM-0000218,CCOC(=O)C1=C(C2=CC=C(C)C=C2)OC2=NC=CC=C12,Enzymatic,49,,,,,0.5116279069767442,0.2631578947368421,0.32786885245901637,0.37735849056603776,0.2826086956521739,0.3673469387755102,0.4418604651162791
QHM-0000120,OC(CNCCCc1ccccc1)c1ccccc1,Enzymatic,128,,,,,0.16326530612244897,0.20754716981132076,0.40384615384615385,0.18181818181818182,0.24390243902439024,0.20408163265306123,0.2
